dataset_file,column,description,unit_or_format,provenance_link
data/input/google_location_water_2022_2025.csv,withdrawal_mg,Operator-reported annual water withdrawal in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,discharge_mg,Operator-reported annual discharge in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,consumption_mg,Operator-reported estimated annual consumption in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,year,Fiscal or calendar year as reported by the source.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,operator,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,unit,Unit supplied by the source or declared conversion.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,report_publication_year,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,report_printed_page,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,report_file,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,is_named_location,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,consumptive_fraction,Consumption divided by withdrawal.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,balance_derived_consumption_mg,Withdrawal minus discharge in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,balance_error_mg,Reported consumption minus withdrawal-plus-discharge balance in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,qa_flag,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_location_water_2022_2025.csv,reported_cooling_note,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,latitude,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,longitude,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,coordinate_basis,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,macro_region,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,pfaf_id,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,name_0,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,name_1,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bws_raw,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bws_score,Aqueduct 4.0 baseline-water-stress score used only for screening.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bws_label,Aqueduct 4.0 categorical baseline-water-stress label.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bwd_raw,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bwd_score,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,bwd_label,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,iav_raw,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,iav_score,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,iav_label,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,sev_raw,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,sev_score,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,sev_label,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,screening_dataset,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,screening_baseline_period,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_locations_aqueduct26.csv,screening_caveat,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,year,Fiscal or calendar year as reported by the source.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,source_type,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,withdrawal_mg,Operator-reported annual water withdrawal in million U.S. gallons.,million U.S. gallons/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,report_publication_year,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,report_printed_page,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,operator,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/google_reported_source_mix.csv,unit,Unit supplied by the source or declared conversion.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,rowid,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,plant,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,description,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,reporting_date,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,reporting_month,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,reporting_year,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,azpdes_outfall_003,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,npdes_outfall_005,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,reuse,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,ponds,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,gric,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,outfall_001_gwrp,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,outfall_001_sewrp,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,effluent_to_baseline,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,me01_southern_ave,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,me02_baseline,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,me03_8th_street,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,total_beneficial_reuse,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/mesa_reclaimed_water_management.csv,total_system_flow,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,year,Fiscal or calendar year as reported by the source.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,electricity_mwh,Operator-reported annual total-facility electricity in megawatt-hours.,MWh/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,withdrawal_ml,Operator-reported annual water withdrawal in megaliters.,ML/year,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,operator,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,withdrawal_intensity_l_per_total_kwh,Study-derived withdrawal divided by total-facility electricity; not WUE.,L/total-facility kWh,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,electricity_boundary,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,intensity_label,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,report_file,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,report_printed_page_electricity,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/meta_site_water_electricity_2019_2024.csv,report_printed_page_water,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,climate_zone,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,architecture_id,Cooling-architecture scenario identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,practice,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,month,"Calendar month or month-start date, depending on dataset.","text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,hours,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,pue_mean,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,withdrawal_wue_l_per_kwh,Modeled direct withdrawal WUE in liters per IT kWh.,L/IT kWh,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,consumption_wue_l_per_kwh,Modeled direct consumptive WUE in liters per IT kWh.,L/IT kWh,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,blowdown_wue_l_per_kwh,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,component_balance_error_l_per_kwh,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/monthly_cooling_water_intensity.csv,reproduction_seed,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,case_id,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,entity,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,data_year,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,metric,Metric name as reported in a curated evidence record.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,value,Reported numeric value retained on its original basis.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,unit,Unit supplied by the source or declared conversion.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,value_status,"Whether a value is reported, estimated, modeled, or study-derived.","text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,metric_role,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,mass_balance_eligible,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,source_id,Stable identifier linking a value to metadata/source_register.csv.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,source_url,Primary public URL for the source.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,source_page_or_section,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/source_resolved_case_evidence.csv,interpretation,Permitted interpretation and boundary for the record.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,station_id,Eight-digit USGS station identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,date,Observation date.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,discharge_cfs,USGS daily mean discharge in cubic feet per second.,ft3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,discharge_qualifier,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,discharge_m3s,Daily mean discharge converted to cubic meters per second.,m3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,discharge_ML_day,Daily mean discharge converted to megaliters per day.,ML/day,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_02336000_Atlanta_GA.csv,source_retrieved_at,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,station_id,Eight-digit USGS station identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,date,Observation date.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,discharge_cfs,USGS daily mean discharge in cubic feet per second.,ft3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,discharge_qualifier,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,discharge_m3s,Daily mean discharge converted to cubic meters per second.,m3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,discharge_ML_day,Daily mean discharge converted to megaliters per day.,ML/day,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,source_retrieved_at,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,station_id,Eight-digit USGS station identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,date,Observation date.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,discharge_cfs,USGS daily mean discharge in cubic feet per second.,ft3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,discharge_qualifier,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,discharge_m3s,Daily mean discharge converted to cubic meters per second.,m3/s,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,discharge_ML_day,Daily mean discharge converted to megaliters per day.,ML/day,Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/input/usgs/USGS_12117500_Seattle_WA.csv,source_retrieved_at,Field retained from the cited source or created by the declared analysis; see README and source register.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
data/analysis_ready/aws_us_matched_regions.csv,location,Operator-reported location or analytical location identifier.,"text, count, fraction, or source-defined; see column description",Use source_id/source_url/source_locator fields in this dataset or metadata/source_register.csv.
